"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-05-23,2,0,8,1,4,3,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
2,2023-05-30,2,0,7,1,3,1,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
3,2023-06-06,2,0,6,1,3,4,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
4,2023-06-13,2,0,6,1,3,1,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
5,2023-06-20,2,0,6,1,3,1,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
6,2023-06-27,2,0,6,1,3,2,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
7,2023-07-04,2,0,6,1,3,2,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
8,2023-07-11,2,0,6,1,3,3,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
9,2023-07-18,2,0,6,1,3,3,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
10,2023-07-25,2,0,6.02499999999998,1,3,1,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
11,2023-08-01,2,0,7,1,3,2,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
12,2023-08-08,2,0,8,1,4,NA,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
13,2023-08-15,2,0,14,1,3,NA,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
14,2023-08-22,2,0,20.0999999999999,1,4,NA,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
15,2023-08-29,2,0,42.05,0,4,NA,2023-09-06,"ARAÇATUBA","10","covid","corte 3 semanas"
1,2023-05-23,2,0,7,1,4,2,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
2,2023-05-30,2,0,7,1,3,2,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
3,2023-06-06,2,0,7,1,3,2,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
4,2023-06-13,2,0,7,1,3,2,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
5,2023-06-20,2,0,7,1,3,3,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
6,2023-06-27,2,0,6,1,3,1,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
7,2023-07-04,2,0,6,1,3,4,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
8,2023-07-11,2,0,6,1,3,3,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
9,2023-07-18,2,0,6,1,3,1,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
10,2023-07-25,1,0,5,0,2,1,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
11,2023-08-01,1,0,5,0,2,1,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
12,2023-08-08,1,0,6,0,2,NA,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
13,2023-08-15,1,0,7,0,2,NA,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
14,2023-08-22,1,0,11,0,2,NA,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
15,2023-08-29,1,0,27,0,2,NA,2023-09-06,"ARARAQUARA","10","covid","corte 3 semanas"
1,2023-05-24,2,0,11,1,4,2,2023-09-06,"BAIXADA SANTISTA","10","covid","corte 3 semanas"
2,2023-05-31,2,0,11,1,4,NA,2023-09-06,"BAIXADA SANTISTA","10","covid","corte 3 semanas"
3,2023-06-07,2,0,9,1,4,5,2023-09-06,"BAIXADA SANTISTA","10","covid","corte 3 semanas"
4,2023-06-14,2,0,8,1,4,1,2023-09-06,"BAIXADA SANTISTA","10","covid","corte 3 semanas"
5,2023-06-21,2,0,8,1,4,3,2023-09-06,"BAIXADA SANTISTA","10","covid","corte 3 semanas"
6,2023-06-28,2,0,9,1,4,2,2023-09-06,"BAIXADA SANTISTA","10","covid","corte 3 semanas"
7,2023-07-05,3,0,9,1,4,2,2023-09-06,"BAIXADA SANTISTA","10","covid","corte 3 semanas"
8,2023-07-12,3,0,10,1,4,1,2023-09-06,"BAIXADA SANTISTA","10","covid","corte 3 semanas"
9,2023-07-19,4,0,12,2,6,7,2023-09-06,"BAIXADA SANTISTA","10","covid","corte 3 semanas"
10,2023-07-26,4,0,13,2,6,7,2023-09-06,"BAIXADA SANTISTA","10","covid","corte 3 semanas"
11,2023-08-02,3,0,13,2,5,1,2023-09-06,"BAIXADA SANTISTA","10","covid","corte 3 semanas"
