"Time","date_onset","Median","LI","LS","LIb","LSb","obs_naive","base","DRS","widw","virus","tipo"
1,2023-04-19,2,0,7,1,3.25,2,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
2,2023-04-26,2,0,7,1,3,1,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
3,2023-05-03,2,0,7,1,3,4,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
4,2023-05-10,2,0,7,1,3,3,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
5,2023-05-17,2,0,6,1,3,1,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
6,2023-05-24,2,0,6,1,3,2,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
7,2023-05-31,2,0,6,1,3,1,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
8,2023-06-07,2,0,6,1,3,4,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
9,2023-06-14,1,0,6,1,3,1,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
10,2023-06-21,1,0,5,1,3,1,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
11,2023-06-28,1,0,6,1,3,2,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
12,2023-07-05,1,0,9,1,3,NA,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
13,2023-07-12,1,0,16,0,3,NA,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
14,2023-07-19,1,0,34.0999999999999,0,3,NA,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
15,2023-07-26,1,0,80.05,0,4,NA,2023-08-02,"ARAÇATUBA","10","covid","corte 3 semanas"
1,2023-04-19,7,2,17,5,10,9,2023-08-02,"ARARAQUARA","10","covid","corte 3 semanas"
2,2023-04-26,6,1,13,4,8,4,2023-08-02,"ARARAQUARA","10","covid","corte 3 semanas"
3,2023-05-03,4,1,11,3,6,5,2023-08-02,"ARARAQUARA","10","covid","corte 3 semanas"
4,2023-05-10,3.5,0,9,2,5,4,2023-08-02,"ARARAQUARA","10","covid","corte 3 semanas"
